True_Label,Predicted_Label,Class_Probabilities
1,1,"[0.03769434162620593, 0.8420142716987927, 0.0577913866750013, 0.0625]"
0,0,"[0.9908157457117013, 0.0016763674624547368, 0.006674553492510627, 0.0008333333333333334]"
0,0,"[0.9841006509547962, 0.008377750913244112, 0.006688264798626292, 0.0008333333333333334]"
3,3,"[0.1707138759219776, 0.08780359505846323, 0.09848014682601193, 0.6430023821935474]"
3,3,"[0.004475439661744406, 0.0001096863420634249, 0.003609213580187686, 0.9918056604160044]"
0,0,"[0.6453620326487626, 0.1446379673512375, 0.18333333333333332, 0.02666666666666667]"
1,1,"[0.11420832619985162, 0.43640528377223814, 0.2960649575349481, 0.15332143249296212]"
2,2,"[0.003347461256456971, 0.006666666666666667, 0.9725224292526753, 0.017463442824201144]"
3,3,"[0.054635069014417705, 0.09498685801454015, 0.19840757436535794, 0.6519704986056842]"
1,1,"[0.03268735897141845, 0.511670788820869, 0.057933750371519085, 0.3977081018361935]"
1,0,"[0.5425210924940064, 0.31597851868236454, 0.10650038882362908, 0.035]"
0,0,"[0.776732199027738, 0.05326780097226194, 0.085, 0.085]"
1,3,"[0.0041759391771350185, 0.1457301694639624, 0.02845497914693426, 0.8216389122119684]"
0,0,"[0.9891351135677738, 0.0031407261671023705, 0.006057493598456977, 0.0016666666666666668]"
2,2,"[0.33956672205905264, 0.1498377784169234, 0.43892883285735734, 0.07166666666666667]"
2,2,"[0.030909057724483085, 0.015833333333333335, 0.9465776105975582, 0.006679998344625352]"
2,2,"[0.012518188112346559, 0.052114312715162904, 0.8891129621313015, 0.04625453704118899]"
2,2,"[0.05, 0.07333333333333333, 0.8633333333333333, 0.013333333333333334]"
2,2,"[0.10600263337856401, 0.1655785444272928, 0.6767002639040239, 0.05171855829011922]"
0,0,"[0.976038600520261, 0.004604424413230655, 0.01519030839984168, 0.004166666666666667]"
3,3,"[0.3988560799904898, 0.02412233184203093, 0.022131856381316862, 0.5548897317861622]"
3,3,"[0.08666666666666667, 0.10333333333333333, 0.0375, 0.7725]"
3,3,"[0.026419400258271702, 0.0393421665507945, 0.009558331817239432, 0.9246801013736948]"
2,2,"[0.034166666666666665, 0.008333333333333333, 0.9575, 0.0]"
0,0,"[0.900715536867241, 0.04678446313275899, 0.024166666666666666, 0.028333333333333332]"
2,2,"[0.013333333333333334, 0.008333333333333333, 0.9458333333333333, 0.0325]"
2,2,"[0.35582969328470526, 0.16084259932604106, 0.38251005717434733, 0.10081765021490635]"
0,0,"[0.6470714087655981, 0.09689608676315244, 0.03771615864724718, 0.2183163458240023]"
1,1,"[0.12622547071163093, 0.7744336792931359, 0.07350713189468583, 0.02583371810054733]"
1,1,"[0.14066983315065157, 0.7743301668493484, 0.04833333333333333, 0.03666666666666667]"
2,2,"[0.14503587907716786, 0.23916666666666667, 0.5932974542561655, 0.0225]"
2,2,"[0.0125, 0.020833333333333332, 0.9575, 0.009166666666666667]"
1,1,"[0.1728008933232138, 0.6522608662070234, 0.10953543469303667, 0.06540280577672601]"
0,0,"[0.9913939274931935, 0.005152485764623838, 0.0017869200755161344, 0.0016666666666666668]"
0,0,"[0.9033227633826991, 0.05834390328396753, 0.01366083445491252, 0.024672498878420813]"
1,1,"[0.205105953180562, 0.5131943971712797, 0.14166666666666666, 0.1400329829814917]"
