True_Label,Predicted_Label,Class_Probabilities
1,1,"[0.08000954578444029, 0.915823787548893, 0.004166666666666667, 0.0]"
0,0,"[0.752820384336332, 0.1665819132941688, 0.04118804421230221, 0.039409658157197075]"
0,0,"[0.9476942203809599, 0.016376952136388286, 0.01753523718744376, 0.018393590295208036]"
3,3,"[0.19158590068742629, 0.0833540328044526, 0.051690681259518104, 0.6733693852486031]"
3,0,"[0.568577755818563, 0.07526343924860668, 0.03181924614576225, 0.3243395587870681]"
0,0,"[0.6203182374673424, 0.2314099096303139, 0.023709820086388424, 0.12456203281595521]"
1,0,"[0.804211376768382, 0.07150143817400122, 0.058051284648889, 0.06623590040872791]"
2,2,"[0.005833333333333334, 0.0008333333333333334, 0.9925, 0.0008333333333333334]"
3,3,"[0.11606070580975128, 0.01714441270427639, 0.011106088130371257, 0.855688793355601]"
0,0,"[0.3708968345842601, 0.2856385581848507, 0.1175, 0.22596460723088924]"
0,0,"[0.9366777075450496, 0.03722915740371144, 0.009672667128240633, 0.01642046792299832]"
0,0,"[0.9755479553413026, 0.003569678018172326, 0.020833333333333332, 4.9033307191715976e-05]"
0,0,"[0.9385287556977985, 0.023333333333333334, 0.008333333333333333, 0.029804577635534867]"
0,0,"[0.9698301668353182, 0.014994664300422416, 0.003704975564375228, 0.011470193299883916]"
1,1,"[0.11236658534838365, 0.8712401553186915, 0.00785007865625485, 0.008543180676669987]"
2,2,"[0.00917463577163598, 0.0008333333333333334, 0.9874920308950308, 0.0025]"
1,1,"[0.08482984890113929, 0.8868368177655274, 0.018333333333333333, 0.01]"
1,1,"[0.3056371017762938, 0.5869731787973043, 0.05078568606599443, 0.0566040333604078]"
2,2,"[0.011666666666666667, 0.0008333333333333334, 0.985, 0.0025]"
0,3,"[0.303243745393687, 0.2772850567334382, 0.1042471961250178, 0.3152240017478571]"
3,3,"[0.06469733386851093, 0.02787327295909422, 0.0017726871756667368, 0.9056567059967281]"
3,3,"[0.10412103323986494, 0.051320450492622335, 0.017504338647308496, 0.8270541776202044]"
3,3,"[0.2341386309831256, 0.11938517293270583, 0.021678244170872135, 0.6247979519132965]"
1,1,"[0.051600902632026116, 0.9072342291187878, 0.022621272270195454, 0.01854359597899077]"
0,0,"[0.9991389909241237, 0.0008333333333333334, 2.7675742543012577e-05, 0.0]"
2,2,"[0.0075, 0.0008333333333333334, 0.99, 0.0016666666666666668]"
2,2,"[0.20416111284364163, 0.0819320499049633, 0.6894146263308936, 0.024492210920501564]"
0,0,"[0.8410212630277069, 0.024201320649418066, 0.01838175117762407, 0.1163956651452509]"
0,0,"[0.958212752587637, 0.003414714298666272, 0.03653238091340292, 0.0018401522002938465]"
1,1,"[0.12114251376849024, 0.8501327313729664, 0.010157894862786024, 0.018566859995757204]"
1,1,"[0.009741890493021968, 0.9819846247021492, 0.004178668556744969, 0.004094816248084203]"
1,1,"[0.10731682231453353, 0.8413627040471868, 0.02980557042073898, 0.021514903217540786]"
0,0,"[0.9274389666787295, 0.02839436665460383, 0.015, 0.029166666666666667]"
0,0,"[0.9460452735442854, 0.007538674043336878, 0.0238986764088556, 0.022517376003522247]"
0,0,"[0.9858056575907903, 0.014166666666666666, 2.7675742543012577e-05, 0.0]"
1,1,"[0.1893620890311318, 0.7466666666666667, 0.03166666666666667, 0.03230457763553487]"
1,1,"[0.10709573628548014, 0.7962122826032799, 0.037176859434950776, 0.05951512167628941]"
1,1,"[0.27215674468399254, 0.5695150451043931, 0.09172706904788469, 0.0666011411637295]"
0,0,"[0.935, 0.0325, 0.029166666666666667, 0.0033333333333333335]"
2,0,"[0.6138098863566002, 0.06256843256457269, 0.21623942474694188, 0.10738225633188539]"
2,2,"[0.02169047059613319, 0.005, 0.9699761960705334, 0.0033333333333333335]"
2,2,"[0.03738024681594101, 0.016597922861981314, 0.9357229170991627, 0.010298913222914988]"
0,0,"[0.8809544793766004, 0.0477866678078506, 0.03449381347678935, 0.03676503933875958]"
1,1,"[0.030774908751001608, 0.9147914321672137, 0.017633651340288325, 0.036800007741495805]"
3,3,"[0.004483050574852133, 0.0032141669245388227, 0.0035210832131525086, 0.9887816992874566]"
2,2,"[0.02513565281482684, 0.0075447341432699514, 0.9631529463752364, 0.004166666666666667]"
1,0,"[0.3595265721586198, 0.2072865452606747, 0.20083333333333334, 0.23235354924737217]"
2,2,"[0.02251473754479224, 0.013333333333333334, 0.9441519291218744, 0.02]"
1,1,"[0.05574324954960127, 0.8970995335752868, 0.014098771425589235, 0.03305844544952195]"
3,1,"[0.2755128028834866, 0.35978742535185493, 0.04780990751665404, 0.3168898642480043]"
0,0,"[0.9716666666666667, 0.010833333333333334, 0.014166666666666666, 0.0033333333333333335]"
0,0,"[0.8682408504972006, 0.07641944244936141, 0.04349067297078365, 0.01184903408265438]"
1,1,"[0.14761811301374306, 0.6844726194567, 0.09752750941880621, 0.07038175811075063]"
1,1,"[0.026751933056253487, 0.9570468090637118, 0.0031657164320285465, 0.013035541448005858]"
0,0,"[0.8598308443354526, 0.09146190723575459, 0.03846609451494255, 0.010241153913850085]"
1,1,"[0.2569798878009148, 0.6353422768054671, 0.08925974739386948, 0.018418087999748728]"
3,3,"[0.1769792435385363, 0.04805263460561491, 0.049129217143006165, 0.7258389047128428]"
0,0,"[0.5226691970696524, 0.3617580469543473, 0.061454927306264735, 0.05411782866973577]"
0,0,"[0.9412087503047138, 0.034014415109621214, 0.023110167918998115, 0.0016666666666666668]"
2,2,"[0.008333333333333333, 0.0033333333333333335, 0.9875, 0.0008333333333333334]"
0,0,"[0.9398194409439422, 0.047724526369687666, 0.0008333333333333334, 0.0116226993530368]"
0,0,"[0.9136935853742421, 0.005979868004690033, 0.07861377000119697, 0.0017127766198709986]"
0,3,"[0.3056064268490892, 0.10229417282488844, 0.11084413462906506, 0.48125526569695715]"
0,0,"[0.808459920188542, 0.06585484338178814, 0.013400889740619218, 0.11228434668905068]"
0,0,"[0.8114601395844689, 0.03151444999527277, 0.10859536944741052, 0.04843004097284777]"
0,0,"[0.5731062282271208, 0.08398420693855059, 0.12671558839501082, 0.21619397643931787]"
0,0,"[0.8507890432614512, 0.06451585591558245, 0.010941398011170906, 0.0737537028117956]"
2,2,"[0.12086018240553384, 0.04339274452673915, 0.823247073067727, 0.0125]"
3,3,"[0.08099248800325119, 0.055299823396398, 0.02474237881491498, 0.8389653097854357]"
1,0,"[0.5113104645749017, 0.2931751243629856, 0.10036123492035476, 0.09515317614175792]"
1,1,"[0.0018369131937349703, 0.9980676781798848, 1.9566326986731046e-05, 7.584229939339008e-05]"
1,1,"[0.16688702061785324, 0.583103403660926, 0.12583333333333332, 0.12417624238788752]"
3,3,"[0.07367669322543394, 0.06995815568927213, 0.09402852414679953, 0.7623366269384944]"
2,2,"[0.12315257414562235, 0.027945467051249437, 0.7777815714504877, 0.07112038735264029]"
2,2,"[0.004166666666666667, 0.0025, 0.9916666666666667, 0.0016666666666666668]"
3,3,"[0.14122248667001877, 0.03669636967318491, 0.021039045398635155, 0.8010420982581611]"
