n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,score
1,15,0.9395811989630505,4,14,526,0.8492193095389281
0,18,0.37306909889575746,10,18,122,0.8663139054439771
1,18,0.19437324269743322,5,5,572,0.868378353563666
0,4,0.6382423697609152,8,11,160,0.6594639781082986
0,9,0.5739582134149233,7,18,875,0.8417272421368536
0,19,0.24724646077469525,3,16,478,0.8795924560413969
0,16,0.42312063872926353,9,13,734,0.8650058437383642
0,18,0.5468200332370451,9,8,109,0.8618486381846694
0,14,0.8844867356168935,5,9,293,0.8331810360826466
1,17,0.7671544699312246,3,12,366,0.865497033966626
0,20,0.9999999999999998,1,20,1200,0.7693458328153279
0,1,0.1,10,20,1200,0.45197515267740795
0,12,0.1,10,20,1200,0.8434408240024567
0,20,0.1,1,20,165,0.8637939172413599
0,18,1,10,20,448,0.7432200835056811
1,17,0.503459017013627,1,2,763,0.8782485118040684
1,12,0.6358883712545584,1,20,50,0.8519152856329045
1,20,0.5301751704943124,1,2,1200,0.8786609419877444
1,10,1,10,18,1200,0.8241431433040314
0,18,0.29644927952603184,1,2,50,0.8820920584231156
0,19,0.41776138489155346,1,2,50,0.8835141154086928
1,12,0.5609748085543956,10,2,50,0.8426821695909101
0,12,0.5023686690098462,1,2,1200,0.8811655995368428
1,20,0.2353600147652113,1,20,50,0.8649746296287578
0,20,0.39448368662825417,1,2,1200,0.8883903477404645
1,14,0.1,1,2,1200,0.8672482125776082
0,16,0.1,1,2,1200,0.8783613544554921
0,9,1,1,2,1200,0.757285615820855
0,13,0.6419159208737112,1,12,1200,0.8699059157975757
0,13,0.27026416036531586,1,2,1200,0.8866734509187753
0,11,0.1,1,2,1200,0.8659571626671422
0,20,0.1,10,2,1200,0.8483485558778583
1,20,0.4586233433679724,10,15,1200,0.8530110746442574
0,18,0.4322280312880501,1,20,1200,0.8776055281721152
0,12,0.5662393292004737,10,3,939,0.8553393796984669
0,20,0.4000381575399867,6,3,686,0.8771021012076223
1,10,0.25927652463217493,1,3,902,0.8721438271703084
0,11,0.32871254594359467,1,2,1200,0.8815761108213866
1,8,0.49846144920366386,1,2,1200,0.8449593740297818
0,14,0.3911438947816053,1,2,50,0.8830143387068305
0,20,0.5535716472664034,1,20,50,0.8651161180521603
1,8,0.28211548959124555,10,2,1200,0.8343914959341754
1,8,0.1,1,14,877,0.8227320047738494
1,15,0.6539225955373342,2,2,909,0.8758923222329926
0,19,0.3034972575612118,1,2,1200,0.8890969407786395
0,20,0.306878030929715,1,2,1200,0.889290835616911
1,1,0.9997065712980772,6,20,1052,0.2339628934443619
1,13,0.38784364929891224,1,5,1033,0.8783104943773307
0,15,0.33773008851506303,1,2,1200,0.886491865349359
0,16,0.1,10,2,1200,0.8478935894913407
0,17,0.7674937139975238,1,4,955,0.8679347180879784
0,14,0.40994070271834926,1,2,1200,0.8858370168861736
0,20,0.3399835083273045,1,2,1200,0.8886376326523113
0,9,0.33476754435885203,1,3,220,0.8672034000209241
0,19,0.340390780250153,1,2,1200,0.8888610839566458
0,19,0.23627737159638568,1,2,1200,0.8910750971523141
1,13,0.9878715114882907,1,8,446,0.8570354907817016
0,18,0.18725906778154905,1,2,1200,0.8919567543577775
0,19,0.17608990263711458,1,2,1200,0.8919350728244904
1,20,0.7388768064718965,2,7,1151,0.8747084027681394
0,18,0.1749941339737469,1,2,1200,0.8919460902414471
1,18,0.6734610344320445,1,2,1200,0.8760725493457416
1,12,0.8406673620484828,1,2,1200,0.8673461644139374
0,19,0.184772165995142,1,2,1200,0.8919350728244904
0,19,0.18014633507237576,1,2,1200,0.8919350728244904
0,19,0.18240168338938018,1,2,1200,0.8919350728244904
0,18,0.18064287264059686,1,2,1200,0.8919460902414471
